RecordId,SuspectsRaceAsAGroup,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType
CA00-0000027916,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027917,Hispanic,Shelter-Mission/Homeless,Anti-Gay (Male),Sexual Orientation
CA00-0000027918,Unknown,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027919,Black or African American,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000027920,White,Bar/Night Club,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027921,Unknown,School-Elementary/Secondary,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027922,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000027923,Unknown,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027924,Hispanic,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000027925,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000027926,White,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000027927,White,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000027928,Unknown,Specialty Store (TV/Fur/etc.),Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027929,White,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027930,White,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027931,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027932,Hispanic,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000027933,Asian/Pacific Islander,Restaurant,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027934,Unknown,School-Elementary/Secondary,Anti-Lesbian,Sexual Orientation
CA00-0000027935,Unknown,Residence/Home/Driveway,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027936,Unknown,Residence/Home/Driveway,Anti-Other Religion,Religion
CA00-0000027937,Unknown,Commercial/Office Building,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000027938,Unknown,Residence/Home/Driveway,Anti-White,Race/Ethnicity/Ancestry
CA00-0000027939,White,Highway/Road/Alley/Street,Anti-Islamic (Muslim),Religion
CA00-0000027940,Group of Multiple Races,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027941,Unknown,School-College/University,Anti-Gay (Male),Sexual Orientation
CA00-0000027942,American Indian or Alaska Native,School-Elementary/Secondary,Anti-Lesbian,Sexual Orientation
CA00-0000027943,Black or African American,Service/Gas Station,Anti-White,Race/Ethnicity/Ancestry
CA00-0000027944,White,Highway/Road/Alley/Street,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation
CA00-0000027945,White,Highway/Road/Alley/Street,Anti-Physical Disability,Disability
CA00-0000027946,Unknown,Park/Playground,Anti-Black or African American,Race/Ethnicity/Ancestry
