record_id,suspects_race_as_a_group,most_serious_location,most_serious_bias,most_serious_bias_type
CA00-0000032096,Black or African American,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000032103,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000032490,White,Restaurant,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000032493,Black or African American,Field/Woods/Park,Anti-Islamic (Muslim),Religion
CA00-0000032500,Black or African American,Air/Bus/Train Terminal,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000032507,White,Residence/Home/Driveway,Anti-Arab,Race/Ethnicity/Ancestry
CA00-0000032576,Unknown,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation
CA00-0000033388,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000033391,Black or African American,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000033404,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000033411,Black or African American,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry
CA00-0000033419,White,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation
CA00-0000033422,Black or African American,Government/Public Building,Anti-Gay (Male),Sexual Orientation
CA00-0000033433,White,Highway/Road/Alley/Street,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry
CA00-0000033436,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000033439,Unknown,Church/Synagogue/Temple,Anti-Gay (Male),Sexual Orientation
CA00-0000033837,Black or African American,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000034104,White,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry
CA00-0000034544,Black or African American,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation
CA00-0000034551,Unknown,Residence/Home/Driveway,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry
CA00-0000034802,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000035163,Black or African American,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
CA00-0000035398,White,Highway/Road/Alley/Street,Anti-Asian,Race/Ethnicity/Ancestry
